공종,공정,공정설명,설비,물질,유해위험요인 분류,유해위험요인 원인,유해위험요인,관련근거(법규),위험 가능성,위험 중대성,위험성,감소대책
발파작업,발파 화약고 관리,사용하기위한 폭약이나 작업후 남은 폭약을 별도의 장소에 보관하여 관리하는 작업,,화약,6. 작업환경요인,6.6 조직 안전문화,화약고 관리책임자 미지적으로 관리 부실,_,"중
(2)","소
(1)","낮음
(2)","1. 화약류 관리 보안책임자는 화약류가 협창 도착부터 발파완료시까지 현장에서 지휘, 감독"
발파작업,발파 화약고 관리,사용하기위한 폭약이나 작업후 남은 폭약을 별도의 장소에 보관하여 관리하는 작업,,화약,6. 작업환경요인,6.6 조직 안전문화,화약고 주변 울타리 미설치에 의한 관계근로자외의 출입에 의한 폭약류 도난,_,"중
(2)","소
(1)","낮음
(2)",1. 울타리 출입문 설치
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 운전원의 조작미숙에 의한 자재의 불시 낙하,"안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-pile 등 자재 인양시 이동식크레인 붐이 꺾이면서 자재 낙하,"안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 인양 작업중 지반부등 침하에 의한 크레인 전도,-,"중
(2)","소
(1)","낮음
(2)",1. 지반의 부등침하 방지
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","이동식크레인 후크에서 와이어로프 탈락, 자재 낙하","안전보건규칙
제149조 [해지장치의 사용]","중
(2)","소
(1)","낮음
(2)",1. 이동식 크레인 해지장치 사용
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","크레인에 과부하, 권과방지장치 미설치 및 고장으로 장비 전도","안전보건규칙
제134조 [방호장치의 조정]","중
(2)","소
(1)","낮음
(2)","1. 양중기 과부하장치 조정
2. 양중기 권과방지장치 조정
3. 양중기 비상정지장치(제동장치) 조정
4. 양중기 기타방호장치 조정
5. 장비 사용 전 점검 철저"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","자재인양, 하역 작업시 아웃트리거 미사용으로 장비 전도",-,"중
(2)","소
(1)","낮음
(2)","1. 하중에 견딜 수 있는 아웃트리거 사용
2. 장비 사용 시 안전담당자 지정 및 배치"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",자재 받침대 파손에 의해 적재된 자재 붕괴,-,"중
(2)","소
(1)","낮음
(2)",1. 하중에 견딜 수 있는 받침대 사용
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,지지대,,1. 기계(설비)적 요인,1.4 충돌위험 부분,아웃트리거 하부 받침대 탈락 또는 부러지면서 충격으로 자재 요동에 의한 근로자 충돌,-,"중
(2)","소
(1)","낮음
(2)",1. 하중에 견딜 수 있는 충분한 강도의 받침대 사용
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험 부분,이동식크레인 회전중 크레인 후면부에 근로자 충돌,"안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험 부분,"작업시 신호수 미배치로 자재인양, 크레인 회전중 근로자 충돌","안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,1.4 충돌위험 부분,H-beam을 1줄로 결속하여 인양중 흔들리는 자재와 근로자 충돌,-,"중
(2)","소
(1)","낮음
(2)","1. 인양시 2줄걸이로 견고하게 결속, 수평으로 인양"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,개인보호구,,6. 작업환경요인,6.6 조직 안전문화,근로자의 개인보호구 미착용에 의해 부딪히거나 추락,"안전보건규칙
제32조 [보호구의 지급 등]","중
(2)","소
(1)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
흙막이 지보공 작업,자재반입,흙막이 지보공을 설치할 자재를 반입,기중기(이동식크레인 등),,6. 작업환경요인,6.6 조직 안전문화,근로자의 개인보호구 미착용에 의해 부딪히거나 추락,"안전보건규칙
제32조 [보호구의 지급 등]","중
(2)","소
(1)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,흙막이가시설,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",흙막이 시공시 설계도서와 상이하게 시공하여 내력 강도에 의한 붕괴,"안전보건규칙
제346조 [조립도]","중
(2)","소
(1)","낮음
(2)","1. 흙막이 버팀대 ,H-pile 기둥 등은 설계 도서 및 시방에 따라 설치"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인을 흙막이 상부에 근접거치하여 흙막이 파손,-,"중
(2)","소
(1)","낮음
(2)","1. 이동식크레인, 자재 등 중량물은 흙막이에 인접하여 적재금지"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM을 1줄걸이로 인양하다가 갑작스런 흔들림에 근로자 충돌,-,"중
(2)","소
(1)","낮음
(2)","1. H-BEAM 인양시 2줄걸이로 견고하게 결속, 수평으로 인양"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,철골부재,볼트,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM 교차부에 볼트가 누락 시공되어 구조적 취약,-,"중
(2)","소
(1)","낮음
(2)",1. H-BEAM 교차부에 볼트 등을 누락없이 견고하게 체결
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식 크레인 후크 해지장치 미설치에 따라 자재 인양중 와이어로프 탈락,"안전보건규칙
제149조 [해지장치의 사용]","중
(2)","소
(1)","낮음
(2)",1. 이동식크레인 후크에 해지장치 설치
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.6 추락위험 부분 (개구부 등),관리감독자 없이 근로자 단독으로 무리하게 작업중 추락,"안전보건규칙
제35조 [관리감독자의 유해위험방지 업무 등]","하
(1)","중
(2)","낮음
(2)","1. 관리감독자 점검(별표3의 작업에 대해)
2. 관리감독자의 점검 및 이상조치"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,흙막이가시설,,1. 기계(설비)적 요인,1.6 추락위험 부분 (개구부 등),흙막이 버팀대상에 안전대 걸이용 로프 미설치로 안전대 미체결하고 작업중 추락,-,"하
(1)","중
(2)","낮음
(2)",1. 흙막이 보팀보 상에느 안전대 걸이용로프 설치
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,안전시설물,,1. 기계(설비)적 요인,1.6 추락위험 부분 (개구부 등),흙막이 버팀대상에 안전대 걸이용 로프 미설치로 안전대 미체결하고 작업중 추락,-,"하
(1)","중
(2)","낮음
(2)",1. 흙막이 보팀보 상에느 안전대 걸이용로프 설치
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,안전시설물,,1. 기계(설비)적 요인,1.6 추락위험 부분 (개구부 등),"H-BEAM 상에서 안전대를 로프에 체결하지 않고 용접, 볼트, 작업중 추락","안전보건규칙
제44조 [안전대의 부착설비 등]","하
(1)","중
(2)","낮음
(2)","1. H-BEAM 상에서 용접, 볼트, 작업중 안전대 걸이용 로프에 안전대 체결하고 작업"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,용접기,전류,2. 전기적 요인,2.1 감전(안전전압초과),용접봉 홀더에 절연체 파손으로 용접작업자 감전,"안전보건규칙
제306조 [용접봉의 홀더]","중
(2)","소
(1)","낮음
(2)",1. 한국산업표준에 적합 또는 이상의 절연내력 및 내열성을 갖춘 홀더 사용
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,흙막이가시설,자재,5. 작업특성요인,5.10 작업(조작)도구,흙막이 버팀보 상에 적재된 자재 공구 등 낙하,-,"중
(2)","소
(1)","낮음
(2)","1. 흙막이 버팀보 상에 낙하 위험성이 있는 자재, 공구 등 적재금지"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,공구류,,5. 작업특성요인,5.10 작업(조작)도구,흙막이 버팀보 상에 적재된 자재 공구 등 낙하,-,"중
(2)","소
(1)","낮음
(2)","1. 흙막이 버팀보 상에 낙하 위험성이 있는 자재, 공구 등 적재금지"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,개인보호구,,6. 작업환경요인,6.6 조직 안전문화,개인보호구 미착용 상태에서 작업중 H-BEAM- 등에 근로자 충돌,"안전보건규칙
제32조 [보호구의 지급 등]","중
(2)","소
(1)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
흙막이 지보공 작업,흙막이 지보공 설치,크레인을 이용하여 흙막이 지보공 설치,철골부재,,6. 작업환경요인,6.6 조직 안전문화,개인보호구 미착용 상태에서 작업중 H-BEAM- 등에 근로자 충돌,"안전보건규칙
제32조 [보호구의 지급 등]","중
(2)","소
(1)","낮음
(2)","1. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑)지급 
2. 보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 착용"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",와이어로프 절단에 의한 H-BEAM 인양중 낙하,"안전보건규칙
제89조 [운전 시작 전 조치]","하
(1)","중
(2)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,철골부재,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",와이어로프 절단에 의한 H-BEAM 인양중 낙하,"안전보건규칙
제89조 [운전 시작 전 조치]","하
(1)","중
(2)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",인양중 이동식크레인 붐이 부러지면서 자재 낙하,"안전보건규칙
제339조 [토석붕괴 위험 방지]","하
(1)","중
(2)","낮음
(2)","1. 관리감독자 작업 시작 전 작업장소 및 주변의 부석 · 균열유무, 함수 · 용수 및 동결상태 변화 점검"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",와이어로프 후크에 해지장치 미설치로 자재 인양중 와이어로프 탈락,"안전보건규칙
- 복공판 상부에 적재시 구조 검토 실시","하
(1)","중
(2)","낮음
(2)","1. 이동식크레인, 자재 등 량물은 복공판 상부에 적재시 구조 검토 실시"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,,자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",해체된 자재를 불안전하게 적재하여 붕괴,"안전보건규칙
제149조 [해지장치의 사용]","하
(1)","중
(2)","낮음
(2)","1. 와이어로프를 후크에 체결시 후크해지장치 설치하여 와이어로프 탈락방지
2. 이동식 크레인 해지장치 사용                3. 해체된 자재 적치 시 받침목은 충분한 강도를 가질 것"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,지지대,자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",해체된 파일 하부의 받침대가 부러지면서 적재파일 붕괴,"안전보건규칙
- 충돌위험 부위에 접근금지 표지설치","하
(1)","중
(2)","낮음
(2)",1. 이동식크레인 후면부 등 충돌위험 부위에 접근금지 표지설치                                  2. 해체된 자재 적치 시 받침목은 충분한 강도를 가질 것
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","이동식크레인, 자재 등을 복공판 상부에 과적재하여 흙막이 붕괴",-,"하
(1)","중
(2)","낮음
(2)",1. H-pile 적재시 하부 받침대는 견고한것으로 사용
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,흙막이가시설,자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분","이동식크레인, 자재 등을 복공판 상부에 과적재하여 흙막이 붕괴",-,"하
(1)","중
(2)","낮음
(2)",1. H-pile 적재시 하부 받침대는 견고한것으로 사용
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,흙막이가시설,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-PIPE 적재시 하부 받침대 불량으로 부재 전도,-,"하
(1)","중
(2)","낮음
(2)",1. 작업지휘자는 안전한 위치에서 작업지휘
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험  부분,"이동식크레인 운전미숙으로 자재 불시 낙하, 근로자와 충돌","안전보건규칙
제169조 [꼬임이 끊어진 섬유로프 등의 사용금지]","하
(1)","중
(2)","낮음
(2)",1. 꼬임이 끊어진 섬유로프 등의 사용 금지
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험  부분,H-BEAM을 1줄걸이로 결속하여 인양중 갑작스런 흔들림으로 충돌,"안전보건규칙
제393조 [화물의 적재]","하
(1)","중
(2)","낮음
(2)","1. 튼튼한 기반위에 적재
2. 불안정한 높이로 적재 금지
3. 편하중이 생기지 않도록 할 것"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,철골부재,,1. 기계(설비)적 요인,1.4 충돌위험  부분,H-BEAM을 1줄걸이로 결속하여 인양중 갑작스런 흔들림으로 충돌,"안전보건규칙
제393조 [화물의 적재]","하
(1)","중
(2)","낮음
(2)","1. 튼튼한 기반위에 적재
2. 불안정한 높이로 적재 금지
3. 편하중이 생기지 않도록 할 것"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험  부분,이동식크레인 회전중 후면부에 근로자 충돌,-,"하
(1)","중
(2)","낮음
(2)",1. H-pile 적재시 하부 받침대는 견고한것으로 사용
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,철골부재,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),H-BEAM 상에서 작업시 실족하여 추락,"안전보건규칙
제13조 [안전난간의 구조 및 설치요건]","하
(1)","중
(2)","낮음
(2)","1. 복공판 단부에 안전난간대 설치
2. 안전난간 설치 등 추락 방호조치
3. 발끝막이판 설치"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,흙막이가시설,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),복공판 단부에서 작업중 추락,"안전보건규칙
제44조 [안전대의 부착설비 등]","하
(1)","중
(2)","낮음
(2)","
1. 높이 2m이상 안전대 부착설비 설치
2. 안전대 및 부속설비 이상 유무 작업 전 점검"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,안전시설물,,1. 기계(설비)적 요인,1.6 추락위험 부분(개구부 등),H-BEAM 상에서 작업시 안전대를 안전대 걸이용 로프에 미체결 추락,"안전보건규칙
제44조 [안전대의 부착설비 등]","하
(1)","중
(2)","낮음
(2)","
1. 높이 2m이상 안전대 부착설비 설치
2. 안전대 및 부속설비 이상 유무 작업 전 점검"
흙막이 지보공 작업,흙막이 지보공 해체,설치된 흙막이 지보공을 해체하는 작업,기중기(이동식크레인 등),,6. 작업환경요인,6.4 주변 근로자,작업지휘자는 불안전한 위치에서 작업지휘중 충돌,"안전보건규칙
- 운전원 자격유무, 경력 확인","하
(1)","중
(2)","낮음
(2)","1. 이동식크레인의 운전원 자격 유무, 운전경력 등 확인하여 작업의 적정성 판단          
2. 신호수 등 작업 지휘자에 대한 교육 실시"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",와이어로프 파단에 의해 자재 인양중 낙하,"안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","
1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 일정한 신호방법 및 신호자 지정"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",자재 인양중 이동식크레인 붐대가 꺾이면서 자재와 함께 낙하,"안전보건규칙
- 인양시 탈락되지 않도록 견손하게 결속","중
(2)","소
(1)","낮음
(2)",1. 길이가 긴 자재는 인양시 탈락되지 않도록 견고하게 결속                            2. 크레인 사용 전 점검 철저                  3. 크레인 제원 초과 사용 금지
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",자재인양중 와이어 로프가 후크에서 빠지면서 자재 낙하,"안전보건규칙
-2줄걸이, 수평인양","중
(2)","소
(1)","낮음
(2)",1. 자재 인양시에는 로프를 2줄걸이로 수평으로 인양                                      2. 후크 해지장치 사용
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",길이가 긴 자재를 인양중 자재 일부가 탈락하면서 낙하,"안전보건규칙
- 소형 부속자재 인양박스 달포대 등을 사용","중
(2)","소
(1)","낮음
(2)",1. 소형 부속자재 인양시에는 인양박스 달포대 등을 사용하여 인양중 자재가 낙하하지 않도록 조치
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",소형 부속자재를 로프로 묶어 인양중 소형자재가 로프에서 빠지면서 낙하,"안전보건규칙
제149조 [해지장치의 사용]","중
(2)","소
(1)","낮음
(2)","1. 자재 인양시 이동식 크레인 후크에는 후크 해지장치를 설치하여 후크에서 로프가 탈락하지 않도록 조치
2. 인양박스 사용"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,1.4 충돌위험  부분,자재를 1줄걸이로 결속하여 인양중 갑작스헌 흔들림에 근로자 충돌,"
안전보건규칙
-운전원의 자격증 보유 여부, 경력확인","중
(2)","소
(1)","낮음
(2)","1. 이동식크레인 운전원의 자격증 보유여부, 운전 경력 확인                              2. 인양 시 2줄걸이 시행"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),자재,1. 기계(설비)적 요인,1.4 충돌위험  부분,이동식크레인 운전원의 운전미숙으로 주변 근로자와 인양자재 충돌,"안전보건규칙
제169조 [꼬임이 끊어진 섬유로프 등의 사용금지]","중
(2)","소
(1)","낮음
(2)","1. 와이어로프는 마모, 손상, 변성 등의 현상이 없는지 점검하고 사용
2. 꼬임이 끊어진 섬유로프 등의 사용 금지"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),,1. 기계(설비)적 요인,1.4 충돌위험  부분,이동식크레인 회전중 후면부에 근로자 충돌,"안전보건규칙
- 접근금지 표지 설치","중
(2)","소
(1)","낮음
(2)","1. 이동식크레인 후면부에 접근금지 표지설치, 유도자 배치하여 안전한 작업유도"
흙막이 지보공 작업,자재반출,자재반출,기중기(이동식크레인 등),,6. 작업환경요인,6.3 공간 및 이동통로,"작업반경내 근로자 출입금지 조치 미흡으로 장비와 충돌, 협착","안전보건규칙
제20조 [출입의 금지 등]","중
(2)","중
(2)","보통
(4)",1. 안전지주 또는 안전블록 사용
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기로 토사 운반중 버켓이 연결부에서 탈락,"안전보건규칙
제89조 [운전 시작 전 조치]","중
(2)","소
(1)","낮음
(2)","1. 근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치
2. 버켓 연결 핀 체결상태 확인"
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴착면 되메움 토사 등이 작업중 붕괴,"안전보건규칙
제340조 [지반의 붕괴 등에 의한 위험방지]","중
(2)","소
(1)","낮음
(2)","1. 견고한 지반위에 적재
2. 방호망의 설치
3. 근로자 출입 금지
4. 측구 설치
5. 굴착사면에 천막 등으로 덮음"
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴착사면,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴착면 되메움 토사 등이 작업중 붕괴,"안전보건규칙
제340조 [지반의 붕괴 등에 의한 위험방지]","중
(2)","소
(1)","낮음
(2)","1. 견고한 지반위에 적재
2. 방호망의 설치
3. 근로자 출입 금지
4. 측구 설치
5. 굴착사면에 천막 등으로 덮음"
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴삭기,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",토사 반입용 버켓에 토사 과적으로 토사 낙하,"안전보건규칙
제393조 [화물의 적재]","중
(2)","소
(1)","낮음
(2)",1. 버켓 용량 만큼만 적재토록  지도 감독 철저.                      2. 작업 반경내 출입 통제
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,차량,,1. 기계(설비)적 요인,"1.3 기계(설비)의 낙하, 비래, 전복, 붕괴, 전도위험 부분",사면 선단부 또는 붕괴 위험이 있는 지반에는 덤프트럭 접근 위험,"안전보건규칙
제171조 [전도 등의 방지]","중
(2)","중
(2)","보통
(4)","1. 지반의 부동침하 방지
2. 갓길 붕괴 방지"
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴삭기,,1. 기계(설비)적 요인,1.4 충돌위험  부분,토사 반입용 버켓 하강시 하부 근로자 충돌,"안전보건규칙
제172조 [접촉의 방지]","중
(2)","소
(1)","낮음
(2)","1. 작업구역 출입금지
2. 작업지휘자 또는 유도자 유도에 따라 작업"
되메움 작업,토사반입 및 되메움실시,토사를 반입하여 굴착면과 구조물 사이에 토사로 메우는 작업,굴삭기,,1. 기계(설비)적 요인,1.4 충돌위험  부분,야간에 반사조끼 신호봉 없이 신호중 유도자가 굴삭기에 충돌,-,"중
(2)","소
(1)","낮음
(2)","1. 신호봉, 반사조끼 착용 후 신호 실시
2. 신호수/유도자 특별교육 시행"
